用户名,评论,时间
M*2,四项是最划算的买法，飞天翼龙直接废了，在门口徘徊了半小时，硬是没敢进去-_-||,2018-04-02
_*6,孩子们的天堂、疯狂的的吃喝玩乐,2017-11-07
_*1,订票很方便，刷二维码直接进园，人好多，后悔没有提前买快速票,2018-04-01
6*7,玩过好几个国家的环球影城，日本是最有本国特色的。这次去有美少女战士和名侦探柯南的专题游乐，很好玩,2018-04-01
e*9,去过新加坡的，个人觉得比新加坡的有特色，特别是哈利波特,2017-09-17
张*团,刺激，好玩，有趣，值得一去，就是人有点多，门票稍贵,2018-03-28
老*-,在日本购买的，使用时确实很方便。节省了不少的时间，建议去游玩的盆友在游玩前，一定要购买好再进去。,2018-03-28
E*6,我买了四个快速，蜘蛛侠，飞天翼龙，小黄人，哈利波特，感觉特别值，因为排队的人超级多。魔鬼终结者完全是个鸡肋。进去一个女的讲日语完全听不懂，又放了一个日语电影，都快睡着了。,2017-09-14
1*8,日本两大乐园，环球影城和迪士尼一定要来看看，环球影城有地铁可以直达，交通很方便。,2017-10-29
小*咖,很方便，把二维码打印出来门口扫码就可以了,2018-01-29
b*p,方便，直接刷二维码进园，不用换票，节省时间,2018-03-18
1*6,和迪斯尼媲美的环球影城不会让人失望，只是有几点需要吐槽下1.大多数游乐设施适合小学以上的孩子，小小孩还是去迪斯尼吧2.人实在是多，哈利波特和小黄人都需要排队3小时以上，不买快速票基本就别想玩3.好莱坞区的4D影片是日文的，中国人看多半会一脸懵逼,2017-09-03
d*h,宝宝还小，只能玩儿童乐园区的，但是光是看看小黄人就很高兴啦,2018-03-16
3*3,方便，发货快，扫二维码就进啦，UJ好玩！,2018-03-13
M*2,挺好玩的，大朋友也玩的非常开心就是门票太贵,2018-03-13
2*8,早点去，里面玩的很多，每个时间点的迅街表演很不错。孩子很喜欢下次还要去。,2018-03-13
蓝*台,亲子游必到打卡点，相对于其他城市的环球影城小。,2018-03-13
1*3,人也没有想象中的多，气氛很好。,2018-03-13
L*9,邮件发二维码，手机照片二维码扫描入园,2018-03-11
1*6,十分好～～～～～～～～～～～～～,2018-03-11
2*0,真的很值得去看一下。非常赞，比迪士尼好玩,2018-03-09
M*0,很方便，门口二维码一刷就能进去了，去usj前一天晚上买的，马上就收到了邮件！好评～,2018-03-07
1*1,非常好特别好超级好相当好无敌快,2018-03-07
2*5,超好玩，门票扫一下就给进了，很方便,2017-10-01
幸*殇,这次日本旅程最大的亮点肯定是大阪环球影城和东京的迪士尼了，大阪环球影城真的完美地还原了各个电影场景，作为一个电影迷真的不虚此行 因为是带孩子出行还特别找了不凡旅行定制工作室帮我们安排 有需要的亲可以联系他们 服务棒棒哒1375****249（v）,2017-08-11
2*6,大家都说环球影城最有性价比的项目就是哈利波特的魔法之旅，我们刚好赶上日本的公众假期，结果排队两个小时，游戏时间是15分钟左右。小朋友排队太辛苦了，不过玩完出来他还是很高兴的。,2017-11-13
E*8,超赞的，哈利波特太好玩了，一定还会再来！,2017-09-18
琥*牙,全家一起游玩了大阪环球影城，个人感觉比新加坡环球影城刚好玩。环球影城相对于迪士尼乐园来说，更适合青少年和成年人，因为每个项目都会让你参与到一个个电影的场景当中，更加身临其境。我们玩了蜘蛛侠探险和大白鲨水上项目，非常好玩。另外，哈利波特主题乐园人很多，因为没有买快速券，所以没有玩，就进去拍了些照片。,2017-03-02
1*2,个人觉得环球影城和迪斯尼类似，里面还有一个哈利波特城，我去了里面一个餐厅，里面的设计，还有食物都是做成海贼王的样子，非常有意思,2017-10-29
M*y,玩得很开心，挺方便的。但其实有些项目不太需要排队,2017-12-11
w*6,去过一次，这次选大阪就是冲着环球，上次侏罗纪没有玩到（维修），哈利波特排队20分钟就能玩到，侏罗纪3个多小时。。。,2017-11-07
2*8,不去环球影城，那来大阪干嘛呢？虽然价格有点贵，但还是觉得很值得。和迪斯尼比起来，算是升级版，项目更刺激，过山车类项目有好多个，晚上的僵尸派对很有意思。,2017-10-11
M*8,哈利波特和小黄人是热点。哈利波特城堡更赞一些，小黄人呼声很高但也就是4D电影的套路，并不觉得很特别。过山车比较推荐飞天翼龙和好莱坞美梦..,2017-10-07
_*9,环球影城人真的太多啦，门票只管一天，一定要规划好行程。哈利波特魔法学院很挤，建议早去。纪念品什么的可以出来的时候再买，一定要早点入园～,2017-10-04
_*0,日本的环球影视城在这里观看电影你可以感到超感觉的享受这里的听非常的大环境非常的干净卫生影响效果非常得好好号,2017-10-04
_*2,10月8日的环球影城标准四项，含哈利波特，2张，当日大门票成人和儿童各一张可转让。4号出游日本，昨天脚扭伤打石膏绝对卧床两周，很伤心。需要的可留言,2017-10-03
1*6,体验哈利波特馆里4d+4k 小黄人馆的裸眼3D 侏罗纪公园的超酷过山车，和蜘蛛侠馆里的4D+特效。很值得一去。,2017-10-01
3*6,绝对值得 适合大人大孩子 孩子太小 很多项目玩不了,2017-10-01
M*6,日本环球影城，是以美国好莱坞电影为主题的大型主题乐园。在这里，可以参观、乘坐各种惊险娱乐设施，参观十分精彩的表演秀。,2017-09-29
M*5,开始觉得USJ整体下来，门票加快速票价格挺高的，最后还是买了，去了之后完全没有后悔，很棒的游乐园，最喜欢哈利波特和蜘蛛侠，有机会的话还想再去一次。,2017-09-21
f*7,大门票，比统一价469便宜，刷二维码进很方便,2017-10-31
H*犬,邮件打印下来，直接入园扫码即可，很方便,2017-10-24
1*3,大阪影视城还是值得一去的，买的快速通道票，一天没有都玩到，玩一天的话有点累，像赶场子，准备再去玩一次，分二次会比较休闲，,2017-09-03
1*6,号称东方好莱坞，太棒了，很喜欢。,2017-11-26
_*4,很不错，值得去，下次有机会带孩子一起再去过,2017-11-26
_*4,值得去看看，壮观的场面，优质的服务,2017-11-25
3*9,影城环境很好，看电影很舒服，喜欢来这看电影。,2017-11-25
1*5,很愉快的游玩！方便快捷！游乐设施也很好，玩的开心愉快！,2017-10-06
1*6,这里无疑就是东方的好莱坞了，带孩子的不要错过哦。,2017-11-22
_*4,大阪最好玩的就是环球影城，可玩性很高。,2017-11-20
_*3,不错里面环境很好，设施刺激值得一去,2017-11-19
E*3,玩了整整一天地方比较好找但是哪一个项目都要排队很多项目看得人多就不想排队了,2017-11-19
1*7,好玩，刺激！不亚于迪士尼乐园的游玩去处！,2017-11-16
M*1,很值得一去，一定要买快速票！！,2017-11-14
1*8,环球影城超级好玩，一天完全不够,2017-11-10
1*7,非常值得去玩的地方，大人小孩都能找到适合自己的玩乐项目，快速票很值，方便，,2017-11-10
自*发,一早就收到票 方便 环球有时间的话还是必去项目的～哈利波特的噱头不光是回忆 真心觉得禁忌之旅的感受最棒 有情怀的项目！,2016-12-02
我*丽,幸亏有快通票，哈利波特和大白鲨都玩了两次！太好玩了！大白鲨很逼真啊，回来看了“鲨滩”更有感觉。哈利波特就像把你放在电影里一样，使劲飞，嗓子都喊冒烟了。其它也基本都玩了，蜘蛛侠，终结者，魔幻星空，侏罗纪…比较遗憾的是“回到未来”没开放，下次再玩吧。我是超级影迷，来到环球影城玩的很尽兴。,2016-09-20
r*1,这里不仅仅是我们想象中的适合孩子们的玩乐场所，实际上大人在这里也会玩的很开心。可以整整玩一天。,2017-11-07
E*7,服务超级好，去玩啦还想玩的地方。,2017-11-06
M*3,飞天翼龙no.1。看好天气再订票是必要的。,2017-11-03
1*8,ユニバーサルが意味することは、ちょうど世界金融センターに到着した、日本は大阪が経済中心であること、,2017-11-03
1*6,这里很好玩，小孩玩得很开心的。,2017-11-02
6*4,价格比较贵，环境很好，人很多，服务态度很好,2017-10-31
t*7,非常不错的景点，过山车很值得一玩,2017-10-31
2*2,特别震撼，以后还会带朋友在来的,2017-10-29
o*5,太方便了，入园直接扫二维码即可。节约不少时间，哈利波特太好玩了，必玩,2017-09-10
_*9,超好玩。喜欢小黄人 孩子很喜欢还安全。,2017-10-21
_*4,日本环球影城，游客到这里来感受影城的魅力,2017-10-21
x*i,确实很有特点，哈利波特专场很逼真，还有现场魔法学院学生合唱，大太阳底下很敬业了。,2017-10-21
_*7,可惜蜘蛛侠馆身高不够，宝贝留下委屈的泪水！,2017-10-17
e*8,里面太大了。自由行前往。跟团队参加不了的。,2017-10-15
M*7,景色宜人，趣味性强性价比高，值得推荐。,2017-10-15
2*5,好多人在这里，这里很受欢迎，太好玩了,2017-10-12
M*7,女儿很喜欢在这里，因为她喜欢看电影,2017-10-12
_*5,花车游行很欢乐，快速通关必买，不用排队。,2017-10-11
1*2,很好玩很方便，太棒啦☺☺☺,2017-10-11
_*9,乐园确实不错，玩的项目视觉感很震撼！,2017-10-10
M*4,还可以  vr比较刺激  以后带宝宝来玩,2017-10-09
_*1,大阪很有人气的游乐园，很好玩，人很多,2017-10-08
x*0,很好玩的地方，蜘蛛侠非常逼真，最喜欢哈利波特！惊险刺激。,2017-10-08
_*4,大阪得环球影城不错，我挺喜欢的，值得一去。,2017-10-08
2*2,超好玩的游乐场，对哈利波特意犹未尽，还有蜘蛛侠。值得再去的地方,2017-10-07
_*1,非常好玩的地方，人很多，气氛非常好,2017-10-05
E*3,这种主题乐园人多排队长一天玩不了几处地方一点意思都没有还不如去别的景点玩,2017-10-04
1*8,特别好的体验，各种服务一流，比,2017-10-04
m*9,以电影为主题的娱乐游玩场所，非常棒,2017-10-04
e*g,420太贵了，如果加上快速通道，要1000多,2017-09-30
M*6,整体来说感觉不错哟，可玩性高，就是排队人数超多,2017-09-30
m*9,超级好玩，超级吸引人，而且日本人的服务真的太到位了,2017-09-29
w*i,地理位置方便，地方环境不错，干净整洁，设备齐全，可以推荐。,2017-09-28
b*y,大阪的环球影城，不得不去啊！可花费一整天时间。,2017-09-27
s*3,值得一去的环球影视城，虽然很拥挤，但当天晚上我们还看到了烟火晚会，很棒！,2017-08-09
2*5,非常现代化，也很有趣味性，景色也不错，性价比还可以。,2017-10-05
2*1,游乐项目很多，可以体验很多电影场景。,2017-09-23
2*9,周末去日本本地人非常多，其实挺有趣的，但在洛杉矶都玩过了。,2017-10-01
1*8,值得去看一下啊，这里的影视城非常完美。,2017-09-21
_*1,环球新城非常好玩，人很多，秩序很好,2017-09-20
m*5,去环球影城一定要趁早，在开门的第一波就要进入，这样可以避免不必要的排队，然后快速票也是必要的。,2017-09-20
M*3,日本达坂影视作品成！很多小人物！,2017-09-19
1*0,趣味性强，小朋友特别喜欢！适合亲子游！,2017-09-19
M*7,比迪斯尼跟适合成人玩乐 还是很不错的,2017-09-19
l*9,非常有名，音效蛮好的！环境不错，价格小贵……,2017-09-17
1*0,大人小孩都适合的游乐场所，记得快速通行券,2017-09-17
M*0,日本环球非常不错  很干净很有趣,2017-09-15
M*3,大阪环球影城，独具一格的哈利波特主题乐园！很好玩！,2017-09-15
1*1,值得带小朋友去看一看，全球只有3个哦,2017-09-14
M*7,替亲戚买的，她玩的挺开心，性价比不错的,2017-09-10
_*9,好玩呀，值得去哦，不过要早点去，不然好多人,2017-09-09
M*6,日本环球影城，是一座大型主题乐园，以放映好莱坞电影为主。,2017-09-09
M*8,很好玩，設施商店都很有趣，很棒,2017-09-07
1*6,绝对是哈利波特迷的圣地，在里面玩的实在太开心了,2017-09-06
E*9,最喜欢哈利波特了，来这里绝对不后悔,2017-09-05
M*4,大阪必去打卡点！第二次去了！小黄人和飞天翼龙人气超高！,2017-09-04
M*9,哄小孩子的玩具，价格死贵！景色不佳……不想来第二趟,2017-09-04
M*3,环球影视作品！展览管好棒啊！厉害,2017-09-02
S*侠,取票方便，靠谱，值得购买，值得一去,2017-04-07
食*待,联系非常不方便，提前一天给票，日本时间都快11点了才给，让客服催，催了一天没有什么卵用！,2017-05-02
t*1,方便，地方不大，但是挺好玩,2017-03-15
y*5,"超级不靠谱的商家！！真的超级差！！买了两张大阪环球影城和两张东京迪士尼两日票都是在我不断的催要确认单的情况下还是都在使用日期的前一个晚上的十点才给。真的垃圾！！！害我不断得从日本打国际电话去商家还有去哪儿客服那里不断的催促。内容里面写着清清楚楚付款之后三天内将确认单发送给客户，加上我打电话确认是否可以尽快将确认单发送的情况下所以和商家买票。结果都是得要不断的打电话，发邮件催促，而且都还得在使用前一天晚上十点才给。我前一天一下午就在等你们的确认单，因为得打印，结果完全没消息。隔天早上8点得到那里，我六点就得出去为了打印你们的确认单。那么多通国际电话费你们赔偿吗？浪费我那么多时间你们赔偿吗？做不到就别骗客户能三天内给确认单，何况还电话里面很确定的说没问题。This is a really unreliable provider, do not trust them and buy anything from them! They stated on the description that tickets would be send to buyer within 3 days after payment. But for all the tickets i have purchased which were at least two weeks before the using date, They had to send the ticket through email only few hours before i used it. I had to make several international calls to make them send the tickets but still They did it only after 10pm on the night before due date for all th tickets i purchased. for the Tokyo Disney land tickets, i had to print out, so i waited for hours in the convinent store just for them to send the tickets through email.",2016-08-18
y*5,"超级不靠谱的商家！！真的超级差！！买了两张大阪环球影城和两张东京迪士尼两日票都是在我不断的催要确认单的情况下还是都在使用日期的前一个晚上的十点才给。真的垃圾！！！害我不断得从日本打国际电话去商家还有去哪儿客服那里不断的催促。内容里面写着清清楚楚付款之后三天内将确认单发送给客户，加上我打电话确认是否可以尽快将确认单发送的情况下所以和商家买票。结果都是得要不断的打电话，发邮件催促，而且都还得在使用前一天晚上十点才给。我前一天一下午就在等你们的确认单，因为得打印，结果完全没消息。隔天早上8点得到那里，我六点就得出去为了打印你们的确认单。那么多通国际电话费你们赔偿吗？浪费我那么多时间你们赔偿吗？做不到就别骗客户能三天内给确认单，何况还电话里面很确定的说没问题。This is a really unreliable provider, do not trust them and buy anything from them! They stated on the description that tickets would be send to buyer within 3 days after payment. But for all the tickets i have purchased which were at least two weeks before the using date, They had to send the ticket through email only few hours before i used it. I had to make several international calls to make them send the tickets but still They did it only after 10pm on the night before due date for all th tickets i purchased. for the Tokyo Disney land tickets, i had to print out, so i waited for hours in the convinent store just for them to send the tickets through email.",2016-08-18
逆*士,非常好，电子票方便，扫码进入。,2017-03-10
芳*6,入园4小时，凭借快五即预约哈利馆，没有浪费，玩得尽兴，只要将买的电子券打印出来即可,2015-08-04
p*5,方便又快捷 价格也优惠 推荐,2015-07-29
陳*儒,非常好的地方，太好玩了，蜘蛛俠哈利波特5D遊樂非常刺激,2017-02-26
s*7,玩的非常开心，人也不算多！,2016-02-06
v*2,最喜欢哈利波特，好逼真。不过里面的机动游戏挺刺激的。太小的小孩可能不适合，值得购买商品，便宜而且专属！,2015-11-12
h*7,非常方便 而且只要把票放在電話屏幕 已經可以使用 客服貼心 有問題第一時間回覆 出票快 使用時方便 購票時客易 一字記之便    你們可以必買 不買排隊排一小時以上 買了 排五分鐘以下 簡值簡單 舒服 不辛苦的可以玩不同遊戲 建議只買五張 因為過山車 不是很好玩 沒特色,2015-11-29
t*8,好棒 进门就可以用 都没等,2016-11-25
z*7,很方便，直接下载二维码入园时扫描就行了,2016-10-11
l*5,后悔没买快速票 排队排了一天 玩了四个项目 下次自由行再去玩 日本人的服务意识很强 很乐观 环球影城到处洋溢着微笑,2016-04-29
s*5,#大阪环球影城#真的超级好玩！和想象中完全不一样，每个馆都不一样完美融入电影漫画元素！裸眼3D绝对身临其境！特别是HP简直棒呆！排队排到吐也值！Hogwards完美还原，里面的ride简直就是4D+鬼屋，超刺激超惊险绝对值得再做一次～而且里面建筑都超美～tips：butterbeer千万不要尝试难喝到爆，在霓虹尝过最最难喝的东西！ps：又活捉一只阳光下的美貌小哥ƪ(•̃͡ε•̃͡)∫,2015-02-06
l*9,很好玩阿，比起国内主题乐园的同质化，环球影城确实与众不同，很多场景让人身临其境，希望国内快点开这样的体验式主题乐园啊！,2015-04-20
雁*8,订单早，发电子票太晚了，玩儿的前一晚十点才收到，可是担心了半天。下次请再早些。,2016-08-13
c*1,很好玩，最刺激的还是逆行世界，不过我们小朋友不敢玩，吓得脸色都变了，大的几个玩完了回来，也是一脸的惊惧后的放松，有孩子说，这真玩命，但是胆子大的说最好再去玩一次。其他的项目不是太吓人，都是模拟空间为主。,2015-10-25
寝*主,非常好玩！比迪斯尼有意思多了～,2016-08-09
m*e,很好玩的，以电影为主题的公园，集中了hello kitty、snoopy、jaws等等，去年又开了哈利波特，值得去玩,2015-04-03
h*0,好玩，太好玩了，还要去玩,2016-07-05
s*7,非常适合我和儿子一起玩,2016-02-06
i*4,太好玩了，取票方便，不耽误时间！,2016-06-09
z*5,配送快，使用方便，氛围好,2015-10-31
r*3,就还不错吧 个人原因没玩好,2016-06-01
l*7,订票仓促，因此告知客服马上就要出发，希望尽快得到票，客服就给出票了，很快～～进门时不用排长队买票或者换票，出示二维码就可以了。订了两张，都没有问题。相比别家，价格较低。环球影城也值得这个非常值得这个票价。,2015-08-06
s*R,非常好玩，取票也很方便,2016-05-11
h*n,票很方便，直接入园。园区很有特色，值得推荐，就是园区内人太多。,2016-04-25
p*2,司机是位老大哥，不是拼车，是专车，接我们的时候还算准时，送我们的时候等了不少时间，正好又是大阪开始降温，在USJ多逗留了1个多小时，一家都冻的不行，下次出游不会选择，自己往返的话，时间可以更好控制。,2016-03-18
q*9,很方便很好，让我节省了很多时间,2016-04-09
h*3,带着二维码直接扫码进园 很方便 但最好再买快速票人太多了,2015-08-30
g*0,非常好玩！快速票赞！建议去玩穿的奇装异服一些！,2015-11-02
j*2,很好，很方便，服务非常好，快递第二天就到了?,2016-01-06
c*3,很好玩，就是人太多，特意选了个周一，没想到还是那么多的人，排队基本要一个小时左右，后悔没买快速券。不过也把好玩的全都玩了，到晚上游园结束才回家。,2015-08-11
e*8,挺简单的 打印出来 直接扫码就可以进去了 方便,2015-08-10
H*n,棒！！！！！！！！！,2016-03-13
a*2,昨天已经去了，玩儿的很好！,2016-02-20
k*6,哈利波特太好玩了，黄油啤酒好喝～,2016-02-18
l*5,世界一流的乐园，绝对顶级的游玩体验,2016-02-17
f*3,门票很快就寄到了，另外订票时有电话咨询，解答也非常认真,2016-02-16
b*0,不用到现场取票，付款后会将电子门票发到邮箱，直接打印出来到了环球影城出示即可，非常方便！环球影城真的非常好玩，非常热闹，哈利波特实在太震撼，点个大赞！！！,2015-09-20
p*7,拿票方便，价钱不太多差,2016-02-12
g*o,很方便，门口排队的人很多，凭券直接进,2016-02-07
E*o,发货很快，已经收到。送的哈利波特的单片夹和环球影城资料很好，很喜欢。可是为什么要送我一堆东京的地图和交通图？？真是醉了，不是应该送我大阪的图比较合理吗？,2015-09-14
v*9,不错，大人孩子玩的很开心,2015-09-09
喂*炜,直接打印 进园方便 就是 发门票邮件较慢 不像介绍中那样最晚隔天发邮件 而是打电话给去哪儿客服催促之后才发的邮件 当时有点心塞塞,2015-09-02
b*n,很不错，但一定提前买好优先票，一定一定，不然排死你，这个不像新加坡可以当天可以现场买。,2016-01-22
t*a,提前购买门票，节省时间，快捷方便！,2015-08-28
x*4,发货蛮快的~赞一个！还有送优惠券,2016-01-21
R*y,人非常多，排队久，不过值得去。,2016-01-17
f*9,很方便，到了直接在入口刷二维码就可以。但是环球影城需要买快速票比较方便。哈利波特很棒。过山车逆转的喜欢,2015-08-21
高*n,太爽啦！！！玩儿了四个过山车和男票,2016-01-12
涂*6,确认邮件发的有些晚，所以如果是提前购买的一定要提前通知他们何时出发离开，否则到了日本收到邮件还要找地方打印,2015-08-15
s*R,转让给别人了，对方说可以使用！,2016-01-04
t*1,非常满意，还送了很多有用的东西，值得够买！,2015-12-27
a*g,好玩，好吃，非常开心！,2015-12-27
f*2,使用後才來評的，現票，不需要再換，可以直接入園的,2015-08-01
E*n,5分，很好玩，很好玩，很好玩，重要的事情要说三遍,2015-12-10
t*3,大阪环球影城推荐大家一定要去 特别是两个场馆蜘蛛侠和哈利波特，尤其哈利波特我感动得都要流泪了 场景做得太好了 身临其境，感觉无与伦比～这一点超过迪斯尼～,2015-02-21
拿*手,整体感觉不错，下次继续选择,2015-12-21
c*a,相当棒，太刺激了，下次还要去,2015-12-01
b*5,东西收到了很精致！还赠了东京的地图和地铁图！这次虽然不去，可以下次用！希望到那里用的时候一切顺利！,2015-09-18
p*0,特别推荐的地方，适合所有年龄段的游乐园！,2016-01-11
渔*1,如画般景色。哈里波特的魔幻。快捷卷的便利。一切很美,2015-12-07
v*9,不错，大人孩子玩的都很开心,2015-09-09
b*6,整体不好玩，语言也是日语，听不懂啊，为啥不是英语。唯一好玩的是是哈利波特主题乐园，其他的都一般。,2015-12-18
古*兽,非常方便 比现场买便宜,2015-11-14
随*逍,出票方便，一切顺利。价格便宜,2015-11-13
u*8,还是快速票比较好用，虽然贵但是值得,2015-11-08
u*8,太赞了，值得一去，买票方便,2015-11-08
u*8,玩好回来评价，太赞了,2015-11-08
g*a,非常方便，收到东西也很快。直接来了就进去,2015-11-04
d*o,5分，环球影城海外第一家，哈利波特主题园确实赞,2015-10-29
d*c,实体票收到了，一定要能用啊,2015-10-28
四*人,实体票，非常方便，还可以做纪念,2015-10-27
落*2,相当的赞 直接发的邮件 都不用打印就进去了,2015-08-11
u*0,环球影城还不错，进去方便,2015-10-22
E*l,取票很方便又便宜，买家服务好,2015-10-16
y*i,很好很好用卖家也很好,2015-08-04
芳*6,买了快5包括预约的哈利，入园后4小时，都玩了一遍，将买的电子票打印出来带身边，超级方便,2015-08-04
t*y,好，发货快捷，使用方便,2015-08-04
m*n,去过国内外很多游乐场，就属日本这个小了，但绝对经典，这符合日本人的做事风格,2015-10-14
f*8,5分，还没去比官网买便宜呢,2015-10-13
q*e,不用排队取票很重要，很好用,2015-10-11
h*3,很方便，可以直接扫码入园，不需要外换票。,2015-10-09
h*3,很方便，可以直接扫码入园，不需要换票，,2015-10-09
o*3,很好用，发货快，价格不算最低,2015-10-08
k*9,好玩，超赞！有了快速券各种优先啊?,2015-10-07
楼*殇,环球影城很好玩啊！！！,2015-10-06
h*1,不错，值得去，下次有机会一定再去。,2015-10-05
箫*灵,很好，出行方便，还送了哈利波特文件夹，票可以直接进园区。,2015-10-04
1*4,不要換票，直接郵寄門票，方便！,2015-10-04
a*8,非常好，邮寄速度也快，省去买票时间,2015-10-03
x*6,玩的刺激 快速通关卷方便好用不排队,2015-10-01
t*5,很好玩，现在才评价，不好意思,2015-09-30
f*4,人太多了，比国内的人还多，太夸张,2015-09-30
皮*腻,购票方便，景区排队时间太长,2015-09-29
皮*腻,购票方便，但景区排队时间过长，不如去日本其他地方逛逛,2015-09-29
i*e,不错 玩得蛮好 买家发货挺快 收到及时,2015-09-28
j*7,很赞！商家服务也好，景区非常值得去玩！,2015-09-28
f*3,5，很新奇，很开心。,2015-09-28
d*5,环球很好玩 推荐去哦 更适合成人,2015-09-28
v*g,超值好用，惊险刺激，孩子玩美了，从开馆到闭馆还是不想走。,2015-07-17
n*9,东西很好 方便实用 而且便捷 当天就可以使用 省了不少钱和时间哦,2015-09-27
h*3,值得玩，不错，和迪士尼另外个风格,2015-07-11
h*7,使用非常方便，省去了排队,2015-09-20
c*y,服务态度很好，门票很快到,2015-09-19
t*4,很方便，打印好直接扫码入园就行，不用再排队换票！,2015-09-18
e*8,非常方便哦，直接寄到了公司，太好了！已经去了。以后还是网上订票比较好，不用排队。,2015-09-16
z*8,方便，不用排长长的队，节省时间,2015-09-15
y*1,挺方便的，如果无需打印直接手机扫描进园就更好了！,2015-09-14
b*4,很方便快捷，信用度高！,2015-09-13
n*8,很方便，可惜去的时候下雨,2015-09-11
s*8,太好玩了。买了快速通票，不用排队,2015-09-10
s*8,一定要买这个票，不怎么要排队了,2015-09-10
t*8,订票简单，取票方便，价格合适。,2015-09-09
n*w,赶在走之前收到了电子票，花了15块打印了三张～不过票子很便宜进门刷一下炒鸡方便,2015-09-05
t*1,不用排队，直接拿着门票进场，真好！,2015-09-03
e*8,直接拿打印的纸张进去就可以了。,2015-09-02
t*0,5分，票还没有收到，下个月才去，好莱坞环球影城很好玩，所以还想去日本这个看看。,2015-08-30
j*1,4分，项目多比较先进，但是人太多排队时间长,2015-08-25
e*6,非常方便，价钱跟日本价钱差不多,2015-08-25
y*1,5分，非常精彩，玩一天时间不够，可以在影城的酒店住一晚，两天正好。,2015-08-24
w*a,门票可直接入场很方便,2015-08-24
妖*言,Perfect    Its a wonderful park.,2015-08-24
s*6,方便，不用排队买票。,2015-08-24
n*7,非常方便，比现场买票便宜，以后还在这儿定,2015-08-23
单*子,值得一去！就是人超多！联系买快速票。,2015-08-22
单*子,玩得不错，尤其是哈利波特！孩子很喜欢。,2015-08-22
j*7,建议大家买之前最好打个电话问问，若来不及及时自取也是一个好办法的，祝大家玩的开心,2015-08-22
t*y,非常好发货速度快，便宜,2015-08-22
I*h,玩的很开心，风景宜人，值得再去,2015-08-21
h*w,蛮好的，还可以，可以用！,2015-08-19
h*w,蛮好的，还可以，可以用！,2015-08-19
w*3,很不错的体验，实现买票很方便,2015-08-18
k*h,电子票，直发有限。可直接入园，不错，省去排队的时间,2015-08-17
y*9,环球影城很值得一玩！,2015-08-16
z*0,提前买好去了不用排队买票直接进去，节省时间而且方便,2015-03-23
f*7,票领取很方便。好玩！,2015-08-15
c*5,很方便快捷，直接入园，免去排队买票,2015-08-15
恐*0,非常好玩特别喜欢哈利波特城堡！和电影里一样,2015-08-14
d*3,挺方便的，快速，便宜,2015-08-13
k*7,3，因为物流问题还需要十几天才能到货,2015-08-27
t*6,5.景色很美，很好玩。,2015-08-10
冷*春,很好玩，就是过山车太多了。。。,2015-08-10
她*它,购票很方便，值得去体验的游乐场，,2015-08-10
f*2,不錯，可以直接拿現票入園,2015-08-08
偶*乱,快递送票，非常方便，实体票也有纪念意义,2015-05-25
冷*春,很好玩，不过太刺激了，受不了啊。。。,2015-08-02
s*o,不错 取票方便 很开心,2015-08-02
s*o,不错 取票方便 很开心,2015-08-02
f*1,门票好用，直接入园，只是拍下后一直不好货，去哪儿网多次协调才发出来，废了很多话。总之结果是好的,2015-07-30
s*5,票价比其他网站都便宜，直接寄送到家，方便快捷！,2015-07-30
s*5,实体票寄到家方便快捷！,2015-07-30
s*5,实体票寄到家，凭票在开园前半小时就进去排队取哈利波特的预约券，超快捷，超方便！,2015-07-30
E*H,提前买票还是必要的 不然到时候买票也要排队 而且也没优惠,2015-07-28
欢*妈,订票方便，下午还会光顾。好好看看吧,2015-07-26
j*2,不用兑换实体票，直接扫码入园，很方便,2015-07-26
d*0,取票又快又方便，比現场购票還便宜，工作人員的服務很周道，態度也很熱情！,2015-07-25
d*0,取票又快又方便，比現场购票還便宜，工作人員的服務很周道，態度也很熱情！,2015-07-25
l*2,很方便，买的是实体票直接入游园,2015-07-21
j*4,玩的很开心，电子票很方便,2015-07-20
r*7,挺好的，日本国内的航空只要提早一个小时到就够了。,2015-07-10
n*8,很方便！大部队都在门口排队买票，我直接进园了,2015-04-25
J*O,不錯的體驗，哈利波特排了2小時也值得,2015-07-03
a*8,5分，超级贵，但制回票价！,2015-07-02
c*2,5分，哈利波特太好玩,2015-06-28
z*3,很好玩过两年带我儿子再去次！,2015-06-28
E*r,项目很刺激， 哈利波特和蜘蛛侠太赞了,2015-06-26
f*8,服务不错，价格也比较合理，还送了东京游览图。可惜我们是去大阪。,2015-06-21
f*8,挺方便的，价格也比**合理，基本不加价,2015-06-20
z*4,票票到的非常快，所有項目都很快就玩了，好萊塢美夢玩了兩次，一次排隊也很快，下次還會繼續光顧！,2015-06-20
y*3,超级方便不用排队！超好,2015-06-09
z*1,不错不错，价格十分便宜，很好玩,2015-06-05
f*6,不错 超好玩！还有返现的～,2015-03-20
凌*苒,很快就到了，很好哦。可以做收藏啦～期待去哦,2015-03-10
j*1,不错。就是讲解都是日语。,2015-05-04
z*n,非常方便，园区的服务超棒，工作人员都态度超好，热情感染了我们,2015-05-01
k*s,方便.快捷.性价比高,2015-04-29
w*g,孩子玩的开心。好好好,2015-04-27
h*i,很好，第二天收到票，省着日本再买票了,2015-04-19
d*0,还没去，感觉上很有意思，票很快就收到了，希望入园顺利,2015-04-16
