用户名,评论,time
M*9,环球影城是日本大阪旅游必游项目，日本环球影城于2001年3月在大阪开业，游乐设施集结众多乘坐式（ライド）和表演秀（ショー）为主，是一座体验式主题乐园，环球影城近几年每年都会导入新的游乐设施。,2019-02-09
H*a,第一次在雨中坐了一次过山车 正面的那种 只感觉冷冷的冰雨在脸上胡乱的拍 逆向过山车好玩到爆 一点都不吓人 一天刷完所有大项目 从早到天黑,2019-05-17
M*0,对比新加坡的环球影城，小了很多，新加坡影城一个区域差不多的大小，正常速度十五分钟就能走一圈。比较火的项目，比如蜘蛛侠哈利波特小黄人，都和新加坡环影的变形金刚一样，坐在几个人的小车里随剧情晃悠，都是一样的套路。有一个什么小镇的项目看大白鲨，实际上就是一个开船的人拿假枪打机器鲨，不是像海洋馆那样看真的，比较失望。类似激流勇进的项目还可以，冲下水里的时候真是很高很快。如果工作日去，不用买快速票基本上都能玩一遍，整体来说还可以，可能是有新加坡环影做对比有点小失望，下次有机会去趟美国的环影再对比一下。,2019-05-17
M*2,网上购票方便，早上直接扫码进园，节省时间，我个人觉得环球影城是大阪最值得去的景点，服务人性化，大人孩子都适合玩,2019-07-04
迷*洞,一定要去哈利波特魔法城堡的 有点震撼～ 第一次去环球影城 真的特别好玩 有一种身临其境的感觉 ,2019-02-08
2*1,三个三十多岁的老阿姨表示玩的很尽兴啊，只要有环球影城必打卡啊！日本的环球影城比新加坡大了很多，游乐项目也多了好多创意的，值得特地去打卡哦！,2019-06-30
h*主,日本环球影城，虽然刺激的都不敢玩，smap早期代言小伙伴说过山车上可以四首歌任选，但是毕竟连坐的胆子也没有啊～～～最爱的就是哈利波特场馆了，真的神还原，虽然全程日语有种在看动漫的赶脚，但是会动的小天狼星黄油啤酒和魔杖馆不能更赞了～～～整体都超棒，一天玩下来累但也超开心，日本人都cosplay来的，必买的爆米花桶，还有快速通票需要单买，可以淘宝～～～,2018-07-24
打*手,还好，就是没几个项目 ，感觉费用贵了516，但比在日购买要便宜一些，有意向游玩的可以网上购买哦、划算,2019-06-29
蔚*c,虽然价值不菲，但节省了时间，还是值得买的。我们是周四去的，不算旺季，感觉快速4项就够了。有倒着做的过山车，看上去很刺激，没敢尝试。,2019-06-28
2*2,就是人多，而且门票小贵，小朋友玩的项目很多，非常适合亲子游玩。“大朋友”玩的也很多，2种过山车应该能让喜欢刺激的朋友玩到嗨，排队时间稍长，还有很多值得推荐的，影迷的最爱,2017-11-21
皮*桑,我没有买快速券，而且是周日去的，从长崛桥出发大概四十分钟就到了～提前买好的电子票，去到刷一下二维码就进去了。从入门项目逆时针玩了一圈中间还吃了饭，下午两点就玩完了。非常推荐走单人通道，因为我一个人去所以理所当然～不介意和朋友分开坐分来玩也可以一起进来排队的。,2018-07-22
_*1,早上7点半去不知道为啥就开门了……直接扫描二维码进门，十分方便。先去排了哈利波特的两个项目，都没什么人，后来人流渐渐多起来了～好多项目都要排两个小时以上，真的是心累～不过马上临近万圣节了，日本人民真是对cosplay 情有独钟，随处可见各种打扮怪异的人走来走去，节日气氛十分浓厚，晚上还有万圣节狂欢party，不过没坚持到那个时候，不过想必超级热闹的！另外里面的各种纪念品都超级可爱，就是贵，舍不得买～,2018-10-27
阿*骞,带孩子去玩的，第二次带小朋友去，日本和西方国家开始放暑假了，人比较多，但是比上海迪士尼不知道要好多少。日本游乐园的工作人员真的很敬业，能看出来笑容的真诚。比国内的游乐园真的不知道好多少。不单单是游玩秩序问题。,2019-06-26
c*z,大阪环球影城，和迪斯尼差不多的地方。和迪斯尼比起来感觉年龄层更高一点，活动项目也偏刺激剧烈一些，其中哈利波特不到一定身高还不给玩...排队什么的没有迪斯尼那么厉害，一般20来分钟就好，除了一个最终幻想排队有点长。蜘蛛侠和哈利波特项目强烈推荐，够刺激啊[耶],2018-04-14
帕*都,非常方便，我是打印出来直接在门口扫码通过的。完全无障碍。入园后左转直奔哈利波特区，不是旺季所以从入园到第一圈座完不到半小时，第一次总是最开心的，之后又坐了两次，只是看的更清楚了，所以距离产生美，期待我大中华早日建成比环球影城更棒的游乐园,2019-01-29
w*0,6月21号进场，不错！,2019-06-23
M*0,喜欢游乐场的一定要去环球影城啦，这是我玩过最有趣的游乐场了，主题元素丰富 并且结合电影情节。一般的游乐场就是一些基础游乐项目，环球影城的最大特点就是多了视觉上、感官上的体验，很大一部分的项目都是有4D、5D的。,2019-01-28
M*0,环球影城真的好玩，交通也很方便～小黄人和哈利波特和美国洛杉矶的一样，所以玩过的人可以把时间省下来玩其他的国家没有的项目。,2019-03-16
籽*娃,大阪环球影城～8:30开门～其实能早去就早去，会提前开门～人超级多，坐地铁就能感受到～跑进去玩儿的第一个哈利波特排了2小时～记住先排队玩儿再逛～进去以后真的会眼花缭乱～玩到关门都不尽兴～,2019-03-15
1*8,非常棒的旅行，快速券想玩多一点项目是一定要买的，虽然游乐园不大，项目不多，但周一也是人超级多，更别说周末了，每一项体验都是舒服的，禁忌之旅和小黄人都是有具体时间段的，我们早上本来是小黄人，大意了没看时间，就直接奔哈利波特了，可惜没让进，这个时候赶去小黄人又来不及了，所以就随缘了，因为哈利波特不玩觉得攻略看亏了，所以就随缘了，一路随行随玩，然后在下午预约的时间之前赶回哈利波特禁忌之旅，结果还太早了，老老实实去排一般的进口，大概排了一个小时左右，玩了一次，然后出来立马又从快速进口再玩一次，嗨到不行，下午走到小黄人，因为人不多，也让从快速进口进去了，哈哈哈，还是很开心的，不过，整个园区最让人感动的地方却是没有一个监控，全靠自觉，至于什么地方，就不多说了，实地体验才是最美好的，反正哈利波特禁忌之旅果然如其他攻略一样，非常优秀，nice，perfect,2019-01-25
饼*爷,"去过洛杉矶，新加坡和大阪三家环球影城，总体感觉大阪这家的游客是最多的，比起洛杉矶，新加坡以海外游客为主来，大阪这家就是全日本各地区本地人为主，每个热门项目都要排队1个小时以上，而且变形金刚改为弱版蜘蛛侠，辛普森一家改为小黄人ride，哈利波特也相应缩减版本，优点是日本服务员真是热情好客。中午吃的是超大火鸡腿，1500日元一份两人足够。交通很方便, JR环球线环球城站下了就是美国小镇，走会就可以看到大门",2019-03-12
A*7,暑假刚去的，人很多排队的队伍很长，哈利波特区开园前就去排队一早冲过去不用整理票也不用排队，4D效果不错，但全员日语让人很出戏，飞天翼龙很惊悚，小黄人适合较小的小朋友，蜘蛛人的效果也不错，水世界的表演也不容错过，总体来说一天能玩5，6个项目就不错了，如果带小孩就不用买快速票了，太浪费，非节假日不用快速票也能玩5，6个项目,2018-08-29
P*o,非常好玩，非常实惠的组合。海游馆里面的周边非常神仙，环球影城玩不了过山车的建议别去，会丧失很多乐趣。,2019-03-11
M*4,二维码直接入园，检票机器上扫一下，很方便。本以为暑假期间人多，排不到哈利波特，结果10点入园，进院后随没找到中文服务人员，但是顺着哈利波特的方向走，换券的地方就在shark的对面，很快找到了。排了10来分钟就排到了，换票的机器有好几台，还是扫入园的二维码，10点40左右拿到预约券，11:00直接就进去了。,2018-08-25
露*雪,这个季节确实是出游的好时节，人不是很多，不用排很久，基本上半小时就可以进去了，高科技体验真是嗨翻天了,2018-11-30
天*哥,大阪环球影城打卡 挺好玩的 各种游乐项目都会给我带来新鲜感 而且大人小孩都适合 各种电影场景在这里呈现 还是非常逼真的！各种演出 各种show都很精彩！,2019-01-17
香*香,这一次专门陪孩子去的，之前自己也没去过！特意在网上攻略了一番，并且提前预订了奥特莱斯跟前的酒店，但没有提前买票快速券当然也没有买，主要是孩子才5岁，每天起床很晚，听他们说入园晚了后人特多，玩不了几个项目。我们是当天早上在酒店现买的票，差点放弃没去！10点快到了才去园，确实人很多，但听他们说比平时少多了，可能赶上周一，我们也没按照攻略走，进去只要人少的就进去，孩子累了就找地方休息或者抱着，大人确实比较累，一直玩到晚上6点。但后来出园后一回想我们竟然玩了15个项目，网上极力推荐的除了哈利波特那个还有一个过山车没玩（是因为孩子太小不让玩）其它大项目都玩了，感觉还是不错，排队也没超过30分钟的，孩子也比较兴奋，所以如果带孩子去不要太在意玩了哪些，刻意去哪个馆。不过网上写的攻略还是有效的等到下午5点以后看第一人气的哈利波特竟然只需要等20分钟！,2018-05-18
w*l,我特别喜欢这个乐园。因为这里面有很多特别有趣好玩，且刺激游乐设施。很多设施都采纳了最高端的VR设备。让人能够感到身临其境的感受。特别适合青少年以及成人。太小的孩子不适合这个地方游玩。,2018-10-09
_*7,千万要买vip通道，不然各种排队，很赞的一个地方，值得一去,2019-06-06
G*r,很好，用到了80元优惠券比较划算，买完发来PDF门票一页，二维码扫码入园，貌似没听说有假，不像上海迪斯尼曾经有抓到售假票的(就是觉得处罚太轻，底层太多，铤而走险的人多)。顺利入园后就用不到了(不清楚是否可以出去吃饭再回去，上海迪斯尼是可以的)。环球影城真的很棒，至少主题来说不算太幼稚，排队热门项目会长到2小时但也是极限了，比上海迪斯尼好很多了。因为买了快速7项，所以基本没怎么排队。园区消费水或者饮料在250日元-350日元，butterbeer600日元(其实就是雪菲力乌梅汁加奶泡)，吃的至少要上千日元了，我喜欢热狗基本款750日元，好吃又管饱，吃别的东西贵而且还补充不了一天的消耗。游乐项目我基本都去了，只有两个遗憾终结者3D电影和飞天翼龙，飞天翼龙应该是全园最搅胃的项目了，其他我依次排列，好莱坞美梦，逆转世界(反着坐的好莱坞美梦)，新世纪福音战士XR飞车(坐了都不知道是啥，晚上快关门才去捡漏，带着VR眼镜坐过山车，很牛逼，G力改变比好莱坞有过之而无不及），水世界真人剧场秀，侏罗纪公园乘船游，蜘蛛侠，哈里波特晋级之旅，鹰马飞行，大白鲨小黄人调皮闹剧，美少女战士4D电影。浴火赤子情没玩到没有排进去。,2018-08-18
m*m,值得体验的乐园，旺季去买快速券比较好。,2019-02-28
晶*冰,8月暑假，最热门的季节，因为没有买快速票，早上7点多就到环球门口等待开门，这个时候已经人山人海，7点40分左右园区开门，进门后直行一段路右转，直奔哈利波特，赶上了第一批，之后去了飞天翼龙，逆转，这个时候还可以排队去拿哈利波特的预约票，我们时间没有掌握好，预约了10:20-11:20，可惜这个时候在排逆转，无法二刷哈利，浪费了。到晚上9:30，我们除了水世界没有玩，其他大项目全部玩遍，一共玩了10个项目。整体感受累并快乐着。关于是否带食物进去，我感觉里面消费也不贵，一瓶水250日元，三个人吃一顿中饭差不多300左右人民币。,2018-08-16
c*1,热门项目还是需要买快速卡 不适合太小的孩子去玩,2019-02-26
_*7,nice place great fun ,2019-01-07
小*蜂,2月的日本还是很冷，到环球影城这天天气非常好，阳光灿烂，没有买优先卡，直接排队，哈利波特确实要排2小时左右，但是也值了，很好玩，孩子喜欢小黄人，吃了火鸡腿，爆米花。,2018-08-13
M*5,可以用，入园选择的日子是绿日子，人没那么多，但有好几个项目都没有开，比较遗憾，史莱姆等4d之类的没有开，但哈利波特气氛真的很好，一定要玩一次,2019-05-31
M*6,玩得很开心。玩了整整一天，大人小孩都喜欢。我们一早8:20就到了，已经开门。玩到晚上灯光秀结束。（很多要排队的项目晚上人比较少，建议大家19:00-20:00可以排队玩一下白天队伍长的项目).我们玩了8-9个项目。,2018-08-12
Y*B,有了Express真的很方便尤其是自己还排了不在Express里的项目，整整两小时，冻到没知觉，更加体会到Express棒棒哒,2019-02-22
M*0,还不错，扫码进园，就是人有点多，后来在园区买了快速券，就是跟一般的游乐园大差不差。没有什么特别有特色的,2019-02-22
a*y,入园很方便直接用邮件中的二维码扫一下就可以入园，而且比现场买票要便宜，还不用排队。十分推荐提前买好入园,2018-08-09
3*1,哈利波特和小黄人排队人超级多，值得买快速票。扫码进入，很方便。,2019-07-14
家*丽,因为提前预定了快速券，所以基本所有大型的项目都要过来了，总体感觉很好，不过还是觉得大阪环球的规模太小了。再有快速券的供货商没有一家的商品类型是全的，造成我们预定了两张4项快速和一张7项快速中的同个项目不能同时使用，这个真的需要改善。,2018-08-07
_*3,超级好玩的乐园，适合各个年龄层次。就是门票出了点小问题，入园时被拦住了，电话客服后，又补来了门票。总体顺利。,2019-07-13
S*y,刷二维码进园很方便！孩子玩的很开心！,2019-07-12
_*7,选择住在附近的酒店非常正确，因为一早开门全是人，虽然不是节假日和休息日但是人很多，日本人也非常多，都打扮的很有气氛。超级喜欢的一个地方，就是带孩子有些是玩不了的，下次还会来。一定要提前做好攻略，如果不着急就一个一个慢慢排队哈哈,2019-05-24
l*棠,夜晚的花车巡游，让我流连忘返，值得一去，里面可爱的店铺让孩子惊叫连连,2019-07-11
_*3,出票很快，门票和快速票打印出来使用快捷方便！,2019-07-10
E*5,我们是工作日去的，但还是很多人。带着孩子只能小项目玩玩，大项目排队都要很久。可以考虑傍晚饭点或游街表演的时候去玩大项目，那时大项目等待时间比较短，有二刷可能性。像哈利波特那种项目还是挺刺激的，值得体验，我们那次傍晚玩的，可以二刷。晚上游街表演也很好看，迪士尼相比有另一种体验。官方App可查看排队时间，不过是日文版的。微信上有个小程序上叫【*******】，可以搜索试试，也能查看排队时间，中文版。,2019-05-22
_*6,特地挑了工作日去玩耍，但是还是超级多人。小黄人是个热门，虽然很多人，还是排队等了好久。小黄人实在太可爱了，整体过程也很欢乐！,2019-04-03
江*侠,哈利波特禁忌之旅，小黄人和蜘蛛侠，好玩到停不下来。好玩又刺激。裸眼3d，让你声临其境的感受到哈利波特与龙和食死徒的战斗。,2019-04-03
L*N,过山车很不错，刺激，非节假日去的，排队的速度可以接受！！,2019-05-21
1*1,要给十星，属于大人的游乐场，小孩子娱乐设施也有，大人也可以玩的很高兴，从开门玩到关门，二刷了新世纪战士。魔鬼终结者需要等时间，去了很多趟没赶上，可惜。,2018-12-26
M*3,环境挺好的，游乐设施齐全，有适合小一点孩子玩的。景区内餐厅也比较多，可以有好多的选择，有机会还会再去。,2019-07-08
M*君,很方便，热门项目排队人很多，还是建议买快速票,2019-07-07
_*1,一次玩不够，还有地方没有玩到，下次还要去,2019-02-10
p*6,特别方便，无需取票的，直接扫二维码进去就好了,2019-10-11
当*使,环球影城真的是非常值得去的地方，有机会去美国洛杉矶，新加坡，日本大阪，一定要去环球影城。看到哈利波特的城堡屋激动的眼泪都快出来了。,2019-05-18
S*a,黄油啤酒冰激凌 上面大半杯好喝 下面小半杯有种糖水的感觉=·=一天坐了四次 backdrop 飞天翼龙 每个项目都玩了[跳跳]后面要去的bb们建议都买express票哦～省很多时间～,2018-07-30
_*3,当天的快捷票全部买完，我们没有买到，以为会排很长的队，结果根本没影响。八点多开门就去玩哈利波特乐园，几乎没排队，顺着人流就进去了，结果孩子有些害怕，也不再玩第二次了。除了过山车其他项目基本都玩了，小黄人还进去两次，没有像有些说的，没有快捷票会很耽误时间。吃饭的餐厅不多，人比较多，错时吃饭好些。小黄人蛋糕很好吃,2018-07-30
一*牙,环球哈利波特超值，蜘蛛侠也很棒，玩哈利一定要买魔法棒玩魔法。,2019-02-09
3*7,非常棒的地方，在这里有很多熟悉的角色，特别是哈利波特城堡，喝到了黄油啤酒（说实话很像以前的乐啤露），我和孩子都玩的很高兴。感觉这里的影视周边太发达了。,2017-11-28
A*J,不错，很好玩！孩子很喜欢！赞赞,2019-07-03
s*4,个人觉得比迪士尼好玩很多，也没有那么多的人，去的时候正好赶上万圣节主题，有僵尸表演，僵尸们时不时出来吓唬游客，也确实得捏把汗，值得再去！,2018-11-01
2*3,这次大阪之行最为期待的点，入园拿着打印好的二维码直接刷卡入园很方便。没有买快速卡，周四入园小排队，除了当天下雨影响体验外其他都还可以。,2019-07-02
2*3,这次大阪之行最为期待的点，入园拿着打印好的二维码直接刷卡入园很方便。没有买快速卡，周四入园小排队，除了当天下雨影响体验外其他都还可以。,2019-07-02
2*3,这次大阪之行最为期待的点，入园拿着打印好的二维码直接刷卡入园很方便。没有买快速卡，周四入园小排队，除了当天下雨影响体验外其他都还可以。,2019-07-02
张*n,提前买好票，方便快捷门口排队出示二维码就能扫码进园了。,2019-07-01
w*3,日本的环球影城真的很不错！从坐上开往影城的专列火车，激动人心的旅程就开始了，火车外都装饰了哈利波特等电影的海报。建议购买快速券，可以节省很多时间，而且，比较有意思的游乐项目都包含在内，比如哈利波特禁忌之旅，这是最值得去的，还有蜘蛛侠也很好玩，大白鲨之类也很不错。下午大街上及广场上还有游行表演以及狂欢演出等，有点记不清了。翼龙飞天是倒吊着的过山车，整个过程也就1~2分钟，但非常刺激，也非常恐怖，光看着就两腿发软，而且就算是快速券也要等很久，所以给自己找个借口就没有坐，有点遗憾！,2019-05-13
w*l,我个人还是比较喜欢环球影城。比其他的乐园要来的更加刺激。里面有很多是3D的电影游戏设施，逼真度特别的高。绝对可以花一天的时间在里面游玩。,2018-12-18
q*4,可惜不能给0星，太垃圾了，买完只给了个数字码，说到门口就能进，结果到usj门口，人家只认二维码，打同程国际门票的客服电话一直打不通，去哪客服说需要等9点上班后才能打电话咨询，太耽误事了，我们8点开门前就到门口排队了，一直等到9点多才给我们发二维码，中间打了好几个漫游电话也没有解决，几十块钱就这样浪费了，千万不要在这里买了，太坑,2019-03-15
r*5,方便好用 我凌晨拍的 很及时就发给我 第二天行程很顺利 性价比高,2019-10-05
w*6,影城很大，去的早所以排队很快，基本上一个项目半小时就到了。哈利波特区域还原度很高，场内工作人员英语差但是非常热情，很棒的一次体验！,2018-07-24
路*特,非常值的一次行程，我怕晒大概三四点才进园，有恐高症限制了我买快速通票，大热门小黄人排了近四十分钟挺有意思的，最爱的哈利波特馆，做得太好了，点上一杯哈利波特最爱的黄油啤酒慢悠悠的晃着，后悔没买魔法棒了里面魔法很有意思，晚上八点十五分的花车巡游超级喜欢，给满分,2018-07-23
林*s,很好玩很好玩很好看，很值得去去一次的。推荐去大阪旅游的都去哦。一定要提前定好门票，这样方便快捷，非常方便的。,2019-03-23
R*主,"【在路上】180616【日本环球影城】【鹰马飞行】坐标亲善村旁边的哈利波特魔法世界园区属于过山车类游艺项目,过山车的头部看上去是竹制的老鹰,一排可以坐两人,每次16人,启动后极速旋转,上升下降,就像是飞旋在海格的小木屋和南瓜田的上空~~比起园里的其他过山车项目,这个稍微缓和一点~",2018-09-09
1*7,带着孩子暑期游，非常喜欢，游玩的项目很多，四大主题各有特色，哈利波特的魔法特别引人入胜，游客不是很多，所以做了2遍，感受一下穿山越岭的快感，特别推荐，值得一游，小黄人系列孩子很喜欢，终结者也体验一下战争的激烈，是一次快乐刺激的旅游，推荐,2018-07-22
m*9,不错不错，出票快，使用起来也非常方便，只要在要玩的大门口前出示一下二维码就可以了，真的非常非常的方便。,2019-06-26
D*8,电子票直接入园，服务人员都很热情，推荐哈利波特！震撼！小黄人也非常好,2019-05-08
蘭*妞,电子票取票很方便，改签机票就为了去USJ，去看哈利波特冒险禁忌之旅，4D效果还原电影场景，后来有点晕晕的下来走路冒了一身汗，里面的环境氛围是非常好的，秒杀迪斯尼。一定要去USJ，日本的服务真的很有礼貌每个人都微笑的，还有超级大的鸡腿和柯南的冰淇淋超级好吃👍👍👍,2018-02-24
c*n,周末去一定要买快速票，不然一天就是排队。我们用了快速票差不多一天玩了八九个项目，推荐哈利波特还有一个类似鬼屋逃生的，都是真人，超级恐怖好玩。,2018-10-25
狸*乖,超级好玩！！！要是住在环球附近就太棒了 一早就可以冲去哈利波特,2019-06-25
1*8,电子票很方便，今天人不是很多，玩了五个最经典的项目一共花了3个小时，等待时间最长的是哈利波特，用了一个小时，但是非常好玩，小黄人和蜘蛛侠风格和哈利波特类似，也不错，侏罗纪的激流勇进感觉一般，就只往下冲一次，我们坐在第三排一点都没湿，好莱坞之梦适合想玩过山车，又有点儿害怕的玩，总体来说大阪环球影城太小了,2018-12-12
噼*啦,日本大阪的经典景点，可以看到很多拍电影的场景非常有意思，圣诞节前夕这里好有意思，排队整齐有序，游玩体验很不错。去这里的交通也方便,2018-12-12
q*a,来日本旅游绝对不能错过的景点之一。位于关西大阪市。我们几个在东京留学的朋友一起去的，来之前就超级期待，足足在园内逛一整天。最棒的是哈利波特的城堡，不仅外观很还原很震撼，堡内细节做的也很到位，超级满足。因为是8月份去的，所以天气很热，夏季一定要做好防晒措施。,2018-10-24
a*n,日本大坂市此花区，是世界4个环球影城主题公园之一，1998年10月28日由美国动作演员、加州州长阿诺德·施瓦辛格主持动工仪式，2001年3月31日开幕。,2019-03-19
1*0,环球影城是日本之行最期待的一个景点，里面的项目很多，非常齐全，但是人也很多，一早就去排队了，可以提前在网上买票，很方便。,2019-03-18
上*羊,还是很值得一去的地方！特别是对于有电影情节的年轻人，挺棒的,2019-01-27
_*3,乐园的大小还好，场景做得很好，景园里的工作人员很热心，都会鼓励和带动气氛。当时花了2个小时排的Harry Potter这一项目真的很值得,2019-01-27
_*5,环球影城超级棒的好嘛 作为哈利波特和eva迷真的好兴奋的 有机会的话还会再来 这次比较人气的项目都有坐到 从开园 一直玩到了晚上八点开心,2018-10-21
_*9,还不错，就是人太多，没排上几个项目。,2019-01-26
L*g,这里太值得去了！一直都喜欢看电影，环球影院就是让你成为电影的一部分，不再只是看电影，而是活在电影里。强烈推荐哈利波特和蜘蛛侠，要是中国也有环球影城就好了。赞！,2018-09-02
3*1,方便，快捷，除了没实物票留作纪念以外其他没缺点，扫了二维码就能进去的，从七点四十多下的地铁，到八点多才开门，最后晚上八点多才离园，项目玩的也比较尽兴，除了不敢玩（飞天翼龙）和不好玩儿的（小朋友玩的）以外，其他都玩到了，福音战士排队时间最长，第一个玩的小黄人是热门，没买快速通道券，今天太美好了，天气比较热，跟上海迪士尼一样的烈日当空，但比上海迪士尼更好玩，不虚此行，孩子太喜欢了，纪念品基本都是中国制作，没办法，去了肯定要买个，最中意小黄人，很可爱，总体满意，点赞。考虑到天气因素，我们是当天晚上九点多在日本当地买的，出票也快，丝毫不影响第二天的行程,2018-07-11
z*n,日本大阪环球影城精彩、刺激、特别是蜘蛛侠、小黄人、哈利波特特别灵，有种身临其境的感觉，很刺激、很真实、很逼真，但有高血压、心脏病病史的要当心点，蛮吓人的，蜘蛛侠里面的火喷出来，就在你脸上，温度很高的，很逼真的！值得一去！不枉此行！,2018-07-09
A*G,2018/2019跨年选择了日本大阪。根据以往经验，1/1元旦当天很多商场闭门不营业，所以提前买好的usj的门票，欢度元旦。下午的小黄人花车游行真的萌爆了，非常值得一去,2019-01-18
q*3,很方便 不用排队买票 推荐，很方便 不用排队买票 推荐，很方便 不用排队买票 推荐，很方便 不用排队买票 推荐，很方便 不用排队买票 推荐,2018-11-30
美*上,日本环球影城很好玩，特别是飞天翼龙一定要玩，非常刺激，建议买快七快速票，不用排队。环球乐园还有卖小黄人爆米花，装爆米花的小黄人容器很可爱,2018-07-07
1*路,提前买票刷二维码入园很便利，830开园8点20到达已经有人在玩了，没买快速票直冲哈利波特，排队30分钟玩好，后面陆陆续续刷了蜘蛛侠，小黄人，好莱坞美梦，侏罗纪恐龙，水世界表演和其它魔鬼终结者，妖魔鬼怪出行都看了，玩到晚上19点左右，除了飞天翼龙排太久放弃了其他都算刷到，推荐大家可以先刷飞天翼龙，错过一早上后面都排200分钟，反而哈利波特到晚上只要排一小时。,2019-03-07
N*y,带孩子来大阪，就是冲着环球影城来的！哈拉波特的魔法城堡是必玩项目，排队最长，不过再长也好过上海迪士尼。大人小孩都会玩得很开心！,2019-01-17
哈*鸭,第一次去，人山人海的，网上攻略说可以买通票，各个项目都能玩的，但是游玩的时间有限，没有买，水世界表演很刺激其他项目排队时间都很长的，建议早点去，错开人流。,2019-03-06
1*0,早上八点多买的票子 当天可以扫码进园 没有买快速卡 总体工作日人不是很多 只要高兴去排热门队都不超过一小时 感觉里面的各种排骨肉鸡腿肉超级好吃 很多演出是全日文 有点无法融入了 其他都还好 一个人带着女儿玩到5点回市区 ,2018-07-04
王*爱,二刷大阪环球影城了。因为家里有哈迷，所以就算是排队超级久还是排了，玩后真的不虚此行！建议天黑的时候再去，很有魔法气质哦。还有朋友推荐的黄油啤酒，我们买了一冷一热，相比较而言，还是我买的冷的更好喝。,2019-03-04
b*2,总得来说不错，日本乐园没国内的大，所以走一圈没想象的那么累，买了4项，还不错，去的是平时，人也不多，因为有点恐高，所以大热的飞天翼龙没有坐，侏罗纪公园的游乐设施一定要穿雨衣，否则出来就要买件衣服了┗┃・ ■ ・┃┛，哈利波特确实很刺激，小黄人也好萌,2018-07-01
M*8,日本的环球影城跟迪士尼都相当的不错，上一次去了迪士尼，这次就过来环球影城，在大阪这边还是挺多人过来的，还比较的好玩，而且有很多新鲜的元素，例如说日本本土的哈喽t。在这里，这个地方还是蛮多人的，所以的话最好买一个不用排队的票。,2018-08-18
一*林,xiaoputao0501 2016-12-19 10:53和东京迪斯尼齐名的主题公园，但跟迪士尼不同的是，usj没有免费的fastpass可以领取，所以旺季时段热门的项目排队很厉害，一般排两个小时以上是很正常的。在usj中，游玩项目的精彩程度和排队长度成正比。所以建议不要选择周末或者日本公众节假日去玩。环球影城位于樱岛，可以乘坐jr樱岛线在university下车步行五分钟就到了。门票是7200日元。,2019-04-16
大*爷,去大阪一定要去，在排队的同时还可以学到很多与游戏有关的东西！,2018-11-21
羽*儿,物有所值，省下了许多排队的时间。对于我们这些不爱排队的人来说，这个快速票，赞。,2019-02-25
Z*Y,普通票还不错，凭电子票顺利入园，当天过节很火爆，每个项目排队至少一小时，只玩了三个项目有点儿可惜。,2019-01-06
M*9,感觉非常好，小黄人适合小孩，蜘蛛侠，哈利波特，侏罗纪特别值得玩，6月12和6月13号去的，有阵雨不热人不多，哈利波特排队50分钟，其他的时间短一点，哈利波特魔法棒特别适合小孩8处可以感应变魔法，反复去玩，园区里史努比芝麻街区小孩玩的特别开心，餐厅也很好,2018-06-25
噼*啦,这里可以喝到奶油啤酒，闯入神秘的手杖店还可以，拿着柯南的包包 炫了Universal Studios一圈。日本这个影城虽然不大但是管理的真不错，性价比好,2019-02-23
_*6,这里价格有点咯贵，不过这里出票速度快，安心。,2019-05-31
M*6,在网上买票 还是很方便的 提供信息之后就会受到两张电子票 在排队的时候看到很多人打印出来了 我们就保存在手机里 门口扫码就可以啦 。,2019-02-22
M*1,旅游淡季的大阪环球影城人并不多，九点开门有时候会提前。个人建议入园先跑步去排最近的几个项目。好莱坞区域或者日本限定区域。,2019-02-22
M*6,建议大家大门票可以网上订，通常比官网便宜，快速票则可以官网自己订，我也是买完才发现可以官网自己订的，快速票价格官网比网上优势明显。,2019-02-22
M*6,就因为有快速票这种无良插队票，导致排队时间更长更慢。我一直要买的快速票，因为没有预定，反而没有买到。但是哈利波特我玩了两次，本来还可以玩一次，因为想去坐鹰船，就没有玩了。基本所有项目都玩了，小孩子的也去玩了。晚上的游园赏才是霸道！,2018-08-20
完*檎,精彩的一天 不过不要在冬天玩侏罗纪公园的激流勇进,2019-01-03
D*7,很赞很嗲，圣诞节夜去的，正好晚上有表演，就是天气实在太冷当天。,2019-01-03
_*8,一天玩不够，入园方便直接二维码，去的当天上午人不多，玩项目基本没怎么排队,2019-05-28
_*8,一天玩不够的感觉，地方很大，可惜我们有小朋友身高不够，哈利波特不能玩，期待以后有机会再去,2019-05-28
甜*8,和洛杉矶环球影城不好比 哈利波特据说排死人 我带孩子玩不了就没去 洛杉矶我玩了两次 而且美国的快速卡所有项目都可以用 大阪的还分若干种 所有项目没有不排队的 不买快速票估计排着排着就没劲了 太浪费时间！一定买快速票！买个火鸡腿都排队半小时 我们周五去的 周末估计更多人。日本人很讲秩序所以看巡游坐着就很好大家都能看到 这点国人真应该多学习。买周边可以结束以后买不浪费宝贵时间！【性价比】,2019-04-08
2*9,打印出来使用比较方便 看见很多人屏幕反光 或者 保护膜过不了机 搞了很久,2019-07-14
1*8,入园非常方便，全家游玩顺利，开心！早上10点入园，没有买快速通行证，基本上所有的项目也都玩了。赞！赞！赞！,2019-07-14
1*2,去大阪很值得一玩的地方啊！特别是哈利波特的城堡，特色啊！虽然排了两小时的队，但是里面布置的超级惊喜，和电影里的一摸一样。,2019-05-26
